"HARD_CORAL","human50km"
56.9,25421
35,19562
43.8,100527
58.1,1636960
44.4,1707926
41.3,89887
22.5,57503
21.9,51273
33.8,276329
41.9,277110
50.6,302353
30,509
28.8,509
68.1,17401
74.4,19510
54.4,21471
25.6,22394
3.8,19213
60,17401
70.6,4533
31.9,536
22.2,811
5.6,55423
55.6,55423
56.9,45677
76.3,1601
9.7,53467
26.3,80483
33.8,56819
41.9,57503
3.1,133712
70.6,0
41.3,757
40.6,0
39.1,509
37.5,9837
33.1,10703
15.6,9486
46.9,11093
48.1,17374
38.8,17424
41.9,17814
42.2,17814
55.3,17814
56.3,419536
23.1,389690
36.9,57503
100,127923
11.3,62823
34.4,89887
53.1,89887
17.5,89876
33.8,126415
41.9,131354
25.6,11607
80,55423
19.4,89887
44.4,6665
85.6,6972
44.4,33970
57.5,33923
33.1,20801
54.7,7018
63.8,20571
72.2,14001
23.8,18071
31.9,107474
10,20800
65.6,172689
35.6,29925
53.1,0
54.4,0
26.3,107126
11.9,111883
18.1,108917
33.1,110305
53.1,1014
8.1,418443
37.5,640
63.8,4
56.9,8275
48.8,622
10.6,0
15.6,1158240
15.6,824
35.3,83590
19.1,83634
42.2,79136
49.4,79136
64.4,9290
38.8,9290
37.8,9290
50,9290
42.8,151352
21.3,2152072
35,2204757
31.3,3118
51.9,3118
5,3118
36.6,3118
24.4,1809910
10,1722261
64.4,700632
45.9,665692
15,1023984
50,729176
67.5,700060
42.2,749749
13.8,718602
20.6,975577
45,974482
7.5,995134
50,1005582
22.5,727794
39.4,1009718
23,1244817
9.7,1005277
25.6,882293
22.5,672643
41.9,687248
45,724959
33.8,135615
30.6,128562
50,8650
66.9,16640260
33.8,16050689
46.9,12602556
45.6,11660478
68.8,14606960
53.1,14446049
51.3,15429000
33.8,9783833
15.6,9873915
56.9,11688713
50,14005703
72.5,13685251
23.4,1548357
14.4,1508836
55,0
51.3,8995
27.5,2486258
27.8,1290742
10,1770369
12.8,1785136
17.2,1969807
2.5,1757359
45,1876917
13.8,72788
19.4,72303
11.3,68745
15.6,68581
21.3,66478
21.9,69100
13.1,67512
48.8,65480
15,67512
14.4,61998
33.8,69931
26.6,68745
12.2,67512
18.8,102331
39.1,69188
65.6,32143
36.3,29104
38.1,2299778
4.4,93553
39.8,167341
27.5,141229
36.3,77077
49.4,39645
15.9,40077
56.9,101681
31.9,94096
31.9,93524
45,89887
29.4,99044
23.8,99044
19.4,55192
49.4,55423
60.6,55423
72.5,55423
45.6,55423
23.8,54713
40,49430
7.5,53344
44.1,47671
24.4,33560
37.8,32608
38.1,1070607
31.3,818531
44.1,855931
60.9,704781
59.4,20895
37.5,20800
42.8,13777
48.4,13777
27.5,172689
56.9,0
33.8,172689
12.5,172689
51.9,172689
17.5,4213
45.6,4213
21.3,29933
21.3,29782
30.3,57932
53.1,0
14.4,51134
44.4,0
13.8,48454
36.9,49633
37.5,48725
36.9,1994
28.8,47370
48.1,1926
43.4,26652
45,26379
9.4,147730
55.6,1473
32.5,0
36.3,0
55,302773
31.9,305369
36.9,305953
35,7605
70.9,4917
60,0
53.8,4
18.8,19455
11.3,62823
77.5,10270
58.8,10270
48.1,10270
42.5,10270
46.3,0
76.3,1785
41.3,1785
29.7,29925
51.3,0
37.5,9307
39.4,74479
2.5,1403
6.9,1403
6.3,1403
22.5,78404
41.3,93823
20.6,140657
3.1,100652
22.5,100148
30,170324
38.8,170324
21.9,171976
32.5,168466
30.6,145369
36.9,122480
10.6,86939
35,108634
38.6,13568
31.3,14027
28.1,13538
39.7,14687
32.5,14958
32.2,16253
38.4,16961
34.8,17162
31.7,18471
25.3,18882
56.3,2070
46.3,81166
38.1,79115
40,6297
23.1,0
7.5,131082
33.8,81
41.9,120
36.6,1163428
43.8,10027
41.9,13778
49.4,13778
63.8,789
56.9,801
62.5,27907
37.5,11911202
3.1,45361
47.2,32029
20,42526
6.3,13778
36.9,62823
26.9,111647
46.9,101409
16.3,101963
72.5,108806
41.9,106692
43.8,110713
36.9,97444
21.9,109899
20.6,103728
46.3,11188
18.8,10534
33.1,83460
30,164520
11.9,212314
73.1,29540
22.8,16128
56.9,367596
40.9,292345
57.8,24674
45,17330
40.6,115535
52.5,69969
71.3,85265
20.3,211984
85,155627
22.5,199885
56.9,213545
30,199503
12.5,95402
56.3,207496
44.1,200985
65.3,85265
15.6,336328
31.3,161824
40.6,176723
32.5,255063
22.8,2381726
35.9,18180
40,8650
73.8,8650
28.1,6437
41.9,20800
13.8,2142
2.2,2436
6.6,2142
30.6,1669469
56.9,337004
7.5,515261
46.3,213129
37.5,208983
15.6,212253
75.3,395775
51.9,384518
32.5,602287
0,3118
3.1,3118
59.4,1743142
41.9,388241
25.6,1403
25.6,100892
11.1,944766
17,128673
17.5,116226
26.9,128673
43.8,77736
26.6,47370
43.8,703520
15.6,37866
10,116604
15,119752
20,13464
11.3,13940
4.4,21454
21.3,20846
21.9,20208
28.1,20469
22.5,21293
28.1,41875
21.9,39181
16.6,49496
22.5,46105
8.1,41652
25.6,41151
29.4,39172
20,39178
23.8,50318
26.9,48977
7.5,47188
18.1,47303
11.3,46569
12.7,46488
9.4,45922
18.8,4566
20.4,44703
24.4,44249
20,3843
15.6,41940
24.4,41049
7.4,39564
12.4,39389
11.6,35879
28.1,35807
15,3868
8.8,34263
6.9,1628
20,797
17.5,430
20,5652
16.3,5168
25,5168
27.1,52886
24.7,53058
9.4,3908
25.6,3908
30,3874
18.1,30521
7.8,10603
25.6,10393
11.8,52051
15.6,61749
31.3,61749
18.8,71466
19.4,71570
5,100937
14.4,69703
25.6,69730
8.1,75636
34.4,148666
19.1,196795
16.6,199231
21.3,199231
17.2,201872
19.4,201872
25.3,32855
25,32855
17.5,32917
32.5,32855
41.3,32855
30,32855
45.3,32855
39.4,32685
40,32685
49.4,32855
41.9,32855
32.5,32685
35.9,32325
31.6,32325
42.8,32112
31.3,32112
18.4,31290
28.4,298794
46.3,30595
27.2,30595
18.1,292642
20.9,30595
12.5,287037
17.8,288388
61.9,287776
38.1,288439
13.3,306381
15,22001
53.8,11857
13.8,37508
12.9,60574
13.3,62181
6.8,66595
6.6,60130
18.8,2620700
23.8,2610180
48.8,47006
42.5,45946
36.9,2499197
2.6,39241
30,3906
1.5,39660
8.1,42244
3.8,39605
4.4,42244
4.8,39605
1.6,40533
6.5,42244
3.9,39605
26.9,40929
0.8,40929
0.6,40929
5.6,41445
4.1,40929
10.6,41445
3.8,41445
49.4,30613
2.4,42584
2.9,43543
20.6,45787
24.6,45787
21.8,47186
1.8,47455
12.5,47918
3.1,47918
10.3,47918
25.6,63180
25,63180
32.5,63180
13.1,63180
30.6,63180
6.6,48186
11.3,63180
2.9,48186
25.3,63180
2.3,48789
3.8,48945
1.7,48641
4.9,48671
21.3,48673
4.3,48673
4.7,48673
4.5,48740
2.3,48740
4.6,48463
21.8,48200
18.8,48200
25.2,48200
10.9,3040
28.9,48200
17.3,51053
13.1,21799
14.4,24678
0.2,57887
0.7,57887
1,58115
5.7,57988
4.9,57988
3,57887
18.8,5243
16.9,5243
23.5,42822
6.9,59299
22.2,42822
8.1,5243
17.8,5243
14.9,42822
22.3,42822
